2019-06-08 10:47:38,426 - INFO: request =[request_id:1559962058.43_70332, ip:127.0.0.1, url:/user/sign_up, method:GET]
2019-06-08 10:47:39,704 - INFO: request =[request_id:1559962059.7_49642, ip:127.0.0.1, url:/favicon.ico, method:GET]
2019-06-08 11:42:40,674 - INFO: request =[request_id:1559965360.67_31656, ip:127.0.0.1, url:/, method:GET]
2019-06-08 11:42:40,821 - INFO: request =[request_id:1559965360.82_20404, ip:127.0.0.1, url:/favicon.ico, method:GET]
2019-06-08 11:42:51,464 - INFO: request =[request_id:1559965371.46_70210, ip:127.0.0.1, url:/user/sign_in, method:GET]
2019-06-08 11:42:51,481 - INFO: request =[request_id:1559965371.48_17739, ip:127.0.0.1, url:/favicon.ico, method:GET]
2019-06-08 11:43:32,435 - INFO: request =[request_id:1559965412.43_55147, ip:127.0.0.1, url:/user/sign_up, method:GET]
2019-06-08 11:43:33,735 - INFO: request =[request_id:1559965413.73_61996, ip:127.0.0.1, url:/favicon.ico, method:GET]
2019-06-08 11:44:51,398 - INFO: request =[request_id:1559965491.4_24237, ip:127.0.0.1, url:/user/test, method:GET]
2019-06-08 11:44:51,438 - INFO: request =[request_id:1559965491.44_14694, ip:127.0.0.1, url:/favicon.ico, method:GET]
2019-06-08 11:45:10,548 - INFO: request =[request_id:1559965510.55_35180, ip:127.0.0.1, url:/test, method:GET]
2019-06-08 11:45:10,561 - INFO: request =[request_id:1559965510.56_40744, ip:127.0.0.1, url:/favicon.ico, method:GET]
2019-06-08 11:45:12,881 - INFO: request =[request_id:1559965512.88_98592, ip:127.0.0.1, url:/test, method:GET]
2019-06-08 11:45:12,929 - INFO: request =[request_id:1559965512.93_45814, ip:127.0.0.1, url:/favicon.ico, method:GET]
2019-06-08 11:51:02,750 - INFO: request =[request_id:1559965862.75_50753, ip:127.0.0.1, url:/user/sign_in, method:GET]
2019-06-08 11:51:02,759 - INFO: request =[request_id:1559965862.76_80269, ip:127.0.0.1, url:/favicon.ico, method:GET]
2019-06-08 11:51:10,797 - INFO: request =[request_id:1559965870.8_96210, ip:127.0.0.1, url:/user/do_sign_in, method:GET]
2019-06-08 11:51:10,837 - INFO: request =[request_id:1559965870.84_11940, ip:127.0.0.1, url:/favicon.ico, method:GET]
2019-06-08 11:51:16,547 - INFO: request =[request_id:1559965876.55_25201, ip:127.0.0.1, url:/do_sign_in, method:GET]
2019-06-08 11:51:16,578 - INFO: request =[request_id:1559965876.58_18129, ip:127.0.0.1, url:/favicon.ico, method:GET]
